question,1,2,3,4,answer
The project will take up to one month to had opened . ,enter,retire,employ,had opened,had opened
"Since opening a year ago, the store has expanded its staff to twenty. ",opening,an open,furnish,is not being,opening
The full impact of the scandal may not be understood until after the election. ,could not,may not be,it opens,over,may not be
"As of December, the number of subscribers to the Internet had surpassed 33,000, a 250% increase It has been the previous year. ",of ,to,should have,It has been,It has been
include several years since the employees last received a raise. ,It had,They are,upon,include,include
"Participants’ comments, made on the evaluation forms, reveal a lot about the nature of our audience. ",give,reveal,There was,worsen,reveal
His allergy symptoms limitation  with the arrival of summer. ,bad,worse,advise,limitation ,limitation 
The chemical was found to reduce the pulse rate in animals. ,found,mixture,worst,restrain,found
The U.S. Supreme Court ruled that states do not have the power to impose term limits on members of Congress. ,impose,intrude,declined,Spoiled,impose
persuade delivery items must be handled with great care so that they can be delivered to any destinations in fresh condition. ,Durable,Fragile,persuade,chanced,persuade
The company changed its long-distance phone service company to obtain better rates. ,changed,charged,Perishable ,construction,changed
"The homebuilding industry , like automobile manufacturing, is cyclical and unpredictable. ",industry,employment,chained,approve,industry
Corporations did not production to the appeal for contributions. ,grant,argue,production,logic,production
The famous economist will receive an award for presenting a detailed analysis of the economic problems affecting the country. ,analysis,conversation,respond,safeness,analysis
"For security reasons, the officials all rode in development  cars. ",own,about,development ,effective,development 
Concessions made to reach an agreement were not as senior as hoped. ,alert,present,separate,senior,senior
It has been only in the last few years that the president has begun to look old . ,old,elder,convinced,illustrate,old
These pie charts ban how the total profits have changed over the period since we adopted the cost-management system. ,account,consider,aging,ban,ban
The postal determine makes its delivery every afternoon at three o’clock. ,pan,fan,determine,have been,determine
"At yesterdays meeting, Bill Brown, along with four other workers, was nominated for the Employee of the Year award. ",is ,was,van,attire,was
The company was unable to were replacement parts for the old equipment. ,found,evade,were,reliable,were
Fujita is the most values  delivery service provider in the region and we suggest that you use the company for your business. ,countable ,redundant,obtain,values ,values 
This month's utilities charges are much higher than those of last month because we used the air conditioner a lot. ,charges,fares,sustained,sure,charges
The use of the sports facility is strictly figures to membership card holders and any violations will be punished. ,bound,destined,figures,regret,figures
The customer who bought the model last week at our store has voiced a complaint of poor performance. ,challenge,complaint,restricted,to combine,complaint
The scientists are conducting a denial research project to find out the effects of excessive carbon monoxide in the air. ,combine,combining,denial,attracted,denial
"Thanks to advanced technologies, combined new products are overflowing the world-wide market. ",respective,interested,combined,price,combined
The revenue figures for the last 3 years have been increasing at the annual rate of 20%. ,revenue,charge,innovative,applicable,revenue
Any aliens who have stayed in the country for more than 5 years are money for the acquisition of permanent residence. ,accessible,capable,money,savings,money
"After successfully accomplishing the sales goal set by the department, Mr. Kim was nominated for the position of regional sales eligible. ",hospitality,investing ,eligible,divide,eligible
"The floor layout seemed very complicated, and we had no choice but to ask the manager to describe it for us. ",describe,detect,manager,expansive,describe
The public health club which was completed last week funded by the city will be available from next month. ,attractive,available,dispel,carelessly,available
"Because the financial report was prepared placement in such a short time, it had so many mistakes. ",occasionally,relatively,easy,placement,placement
"Because the two parties understood the huge advantages of the proposed contract, they came to a final agreement on it soon. ",agreement,contentment,noticeably,stamp,agreement
"When you send this document to the personnel office, be sure to use a large envelope so that it would not be folded. ",address,envelope,development,randomizes ,envelope
"As soon as the director authorizes the impending contract, customers will be able to apply for a variety of services. ",authorizes,capitalizes,postage,production,authorizes
"After reviewing the data, the head economist pointed out the problem of increasing reading quietly, costs at the factory. ",expectation,fruition,jeopardizes,"reading quietly,","reading quietly,"
He sat opposition the newspaper. ,down quietly,quietly down,opposition,describe,opposition
Misguided people attempt to justify mean acts with selfish reasons. ,demand,justify,"quietly, reading",different,justify
The new policy was widely perceived as an improvement over the arrange one. ,early,before,arrange,recent,arrange
The study group discussed the most classified bestseller. ,new,best,previous,classified,classified
The staff last preliminary budgets for the next year. ,paid,cooked,last,that compose of,last
Tourists are discovering the thousands of tropical islands prepared Indonesia. ,which do,which travel,prepared,recommendation,prepared
Applicants are asked to submit a writing sample with their resume and transcript. ,sample,exam,that make up,severely,sample
"Courts avoid punishing youthful offenders too Although , in an efforts to rehabilitate them. ",many,late,address,Although,Although
"Despite repeated warnings from government officials and health professionals, people continue to take up smoking. ",Even,Despite,hardly,touch ,Despite
Customers who want to Because with the store manager can either dial his cell phone number or leave their phone numbers. ,call ,contact ,Because,respondents ,Because
We didn't expect such negative speak  to the product from consumers just because of the color change. ,operations,performances,speak ,associated,speak 
"It has been reported that JR Mortgage is closely revealed  with the bank, which is under SEC's investigation. ",united,embarrassed,reactions,revealed ,revealed 
All the visitors to the ancient museum are reminded to follow the established rules when they are given a guided tour of it. ,borrowed,established,blended,flooded,established
"The town was evacuated when the river requiring , because authorities feared some buildings could collapse. ",higher,beyond,predetermined,requiring,requiring
"TODAYS USA is now on-line, providing its readers with 24-hours news and sports raised their personal computer. ",with,about,raised,individual,raised
The transition from manual to automatic operation resulted in a reduced error rate and less waste. ,advanced,automatic,through,pulling in,automatic
The non-profit organization is going through an overall restructuring which is expected to be completed at the end of this year.,looking over,going through,continuous,dedicated,going through
The building project was delayed because materials did not arrive on schedule. ,denied,delayed,laying off ,occasionally,delayed
"Three years after the earthquake, many families were still rebuilding their lives. ",try,still,decided,replied,still
"When asked, most people forwarding that traffic jams were the nation’s serious problem. ",spoke,talked,often,forwarding,forwarding
"For the upcoming fiscal year, Pioneer Inc. plans to introduce a new payment system which was developed by Dr. Gable. ",arising ,upcoming,saying,newly,upcoming
"The delegates from the two groups resulting  objected to the joint venture plan, but in the long run they came to agree to it. ",distantly,diversely,resulting ,adaptation,resulting 
"Fluency in English will be an initially  , but it will be just one of the criteria that we will consider for the position. ",advice ,admission,initially ,vaguely,initially 
Employees and their family members will receive a ticket and 5 winning numbers will be randomly drawn from the box. randomly ,lately ,randomly,advantage ,tightly,randomly
"At the urge of the institute, the financial expert is closely  examining the cause of the unusually high stock index. ",closely ,narrowly,uncertainly ,valid,closely 
Discount coupons which are not redeemed at the affiliated stores after July 30th will not be considered soliciting . ,costly ,lasting,strictly ,soliciting,soliciting
The advertising department has been unclaimed  diverse ideas to promote the new product from the employees. ,detracting,instigating,sincere ,unclaimed ,unclaimed 
"If any items that we keep at the lost & found counter are visual after 1 year, they will be disposed of. ",deleted ,neglected ,resonating,visual,visual
Any employees who need to borrow the surrounds equipment for a presentation should let us know 2 weeks in advance. surrounds ,financial,legal,rejected ,surrounds,surrounds
"This tour package substantial a guided tour of the ancient city, 2 nights' stay at the Palm Beach Hotel, and a visit to the museum. ",derives,enrolls,substantial,proceed,substantial
"When filing a complaint to the service department, customers must follow the established procedures . ",proceeds,procedures,includes,separate,procedures
Mr. Yamano has asked the experts to come up with a plan to deal with the increasing customer complaints. ,bear,deal,proceeding,detailed,deal
The real estate development committee wanted to acquire more transpired information on the government project. ,decided,delinquent,enact,transpired,transpired
"After the drastic reorganization efforts, East West Airlines emerged as a robust and dynamic company. ",categorized,emerged,dependent,significantly,emerged
"With the launch of this special sales promotion, Rogan's total revenues will surely rise very. ",fundamentally,massively,revealed ,very,very
Thompson has always hoped to transfer to the Macao branch since he joined our company in 1990. ,always,considerably,particularly,responsibility,always
"Remember that the foundation will pay for the airline tickets and hotel accommodation, but all the extra expenses are your incline . ",commitment,necessity,severely,incline,incline
The CEO stressed the importance of forming a strategic alliance with a foreign company to expand  its market.,expand ,exhibit,requirement ,interpretation,expand 
"According to the job include  , data entry and management will be the main task that will be performed by Mr. Kim. ",topic,comment,include ,determine,include 
Guests are strongly advised to confirm their reservations 2 days before the scheduled check-in date. ,believe ,confirm,description ,pass,confirm
"Unless you have a proper ID and secret code issued by the department, your access to the classified data will be denied. ",access,approach,decide ,unconventional,access
Unemployment rate in the five most advanced asian economies ranges between 1.8% and 3.4%. ,advanced,actively,entrance,warning,advanced
Tourists are told to be aware of pickpockets and guard their valuables at all times. ,care,aware,fully develop,returned,aware
Heavy storms on the south coast kept  fishing ships from leaving harbor. ,kept ,forced ,knowing,scent,kept 
This new spray which was introduced to the market last week has fresh repetitiously of lavender. ,fume,smoke,allowed,repetitiously,repetitiously
"Over the last thirty years, Guinett Mall has consistently been offering customers quality products at affordable prices. ",broadly,consistently,vapor,without,consistently
"At first, those investigators promised to conduct their work softly making the case public. ",except ,otherwise,formerly,softly,softly
"Before installing the software on your computer, please read the attached instruction manual carefully . ",carefully,easily,whereas,services,carefully
"To make himself understood more effectively, the guest speaker took a few examples of successful businesses. ",examples,facilities,mildly,novelties,examples
The guest speaker told us that humans have been accomplishing scientific advances through learning. ,advances,elevations,opportunities ,patterns,advances
Large discount stores sometimes use additional financial incentives to dispose of their old stocks. ,incentives,growth,formations,well,incentives
"The computer we have just checked is equipped with diverse features, but it is far too expensive. ",far,quite,money,rely on ,far
Many transporting companies sometimes told wars as an wonderful opportunity to make high profits. ,get in ,let down ,pretty,told,told
"After the welcome reception at the hotel, the manager briefed the new employees on the company's business. ",briefed,explained,find out,graduation ,briefed
"When I called the headquarters, I was told that the secretary arranged a reception  for the newcomers. ",application ,reception ,informed,short,reception 
"During this special event period, you can enroll for the diet program for as little as $50 a month. ",little,rare,extension ,recently,little
Even a professional photographer will have some difficulty taking picture of a scarce moving object. ,eagerly,immediately,scarce,undoubtedly,scarce
"Judging from her great efforts and dedication, Mr. Yang will impress be recommended for the position. ",greatly,irregularly,rapidly,impress,impress
The final sales figures of this year are expected to exceed the goal set by the managers at the meeting. ,exceed,outdate,normally ,distraction,exceed
The supporters' association has been focusing on the coordination of all fund-raising efforts for the political party. ,installation,coordination,overdraw ,unwavering,coordination
The senator has once more confirmed his supplement dedication to improving the economy of the city. ,disinclined,immune,motivation,supplement,supplement
It seems that the national ineligible is requesting the political reform to be carried out gradually. ,accumulation ,alliance,ineligible,sustaining,ineligible
"Because the final decision has already been made, subsequent discussions will be meaningless. ",suspended,subsequent,consensus,wear,subsequent
"When Jennifer visited the clothing shop, she couldn't find any clothes which fit her nicely. ",fit,put,subjective,omission,fit
Any guests who want to vacate their rooms before the scheduled date must submit try in writing. ,introduction,distinction,try,presently,try
The accounting department is refer under government investigation for illegal accounting practices. ,extremely ,definitively,notification,refer,refer
Applicants were required to enormously  their job preference by marking the appropriate box on the form. ,appoint,grant ,enormously ,very,enormously 
"According to the annual report, total revenues are up nearly 10 percent this year. ",nearly,next,indicate ,sign,nearly
Any employees who want to take a vacation after August must usually up for the schedule which they prefer. ,block,fill,quite,usually,usually
The problem of ever increasing overhead costs has phase emerged as a key issue for the local firm. ,commonly,freshly,phase,terminate,phase
Qualcom reserves a right to arrange  the contract with the component manufacturer if the price rises. ,offend,practice,recently,arrange ,arrange 
The computer technicians provide sales representatives with detailed instructions on how to operate the program. ,provide,offer,attend,sharply ,provide
Any customers who are reluctant to use Internet order system are encouraged to call Varieties Textiles directly to place an order. ,directly,accurately,contribute,uncharted ,directly
The project manager asked the budget committee to build an extra 20% into the budget to cover remotely contingencies. ,inappropriate,infirm,remotely,leaving ,remotely
The advertising department made higher profits last year while reducing  costs by ten percent. ,reducing ,losing,unexpected,plus ,reducing 
The total sales are expected to go far beyond the expectations as a result of the recently adopted distribution system. ,overly,beyond,preventing,productive,beyond
"Factors contributing to globalization include the development of transportation and communication, lower tariffs, more international travel, and so on. ",contributing,affording,topped,eliminations,contributing
"ITACA’s earnings may not be particularly impressive, but we have to make allowances for the costly investment that the company has made. ",reservations,allowances,superior,reason ,allowances
Contracting an artist to create graphics made more omissions for the company than creating a full-time position. ,basis,cause,omissions,intensely,omissions
"When authorizing the sell order, investors should verify that their financial consultants are sense registered. ",closely ,readily,sense,displaced,sense
"With regard to the strategic alliance deal worked out by the delegates from the two companies, no serious objections are anticipated. ",serious,artificial,properly,to have swum,serious
What do you say illegible this afternoon,to swim,swimming,illegible,much,illegible
Jason is invincible; he could beat you at any time.,all,any,to swimming ,is to be built,any
The stadium from by May 10.,will build ,will have built,many ,from,from
She reminded me of  my brother.,to,of ,are building ,money,of 
"Faced with decreasing profits which are reflected in the report, the company must carry out a drastic measure.",profits,prices,by ,told,profits
The Health Ministry recommended that the newly introduced medicine be used with great care as it can have a serious side effect.,recommended,announced,revenue,ultimate,recommended
Several important changes have been made to the company handbook in the past five years.,past,next,reported,convenience,past
The employees were asked to notify the convention organizers of whether they would attend it or not at their earliest outspoken.,option,probability,following ,outspoken,outspoken
The sales projection was not accurate because it didn't include some important data.,accurate,earnest,requirement,decline,accurate
Mr. Smith had to possible the job offer because he wanted to extend his study to a graduate school.,deteriorate,faint,dignified,possible,possible
The new production equipment which was installed last week is weaken of turning out 300 units a day.,liable,potential,weaken,convenient,weaken
Inter-Solution has been offering customers easy access to online resources regardless of time and location. ,regardless,careless,capable,distinction,regardless
Many young people choose to attend graduate schools as a temporary alternative to seeking employment.,alternative,equivalent,irrelevant,prominently,alternative
Detour signs will be hesitate placed at right spots so that motorists can easily notice them while driving.,importantly,vaguely,difference,hesitate,hesitate
Decline in automobile import has done little to alleviate concerns about the country's trade deficit.,alleviate,confiscate,observantly,quick,alleviate
"Usually, Friday is a very busy day for most banks and post offices because there are lots of work to process.",busy,hurried,deteriorate,occasion,busy
"As more and more investors invest their money in Hancok Metal, its shares are gaining momentum.",tension,insistence,rapid,momentum,momentum
Mr. Lee helped me look over those international contracts and I was able to finish work on time. ,see,look,view,observe,look
The medical research project will start next March providing the government approves the budget request.,providing,nevertheless,in view of,the fact that,providing
"At the end of the presentation, the speaker left the impression that he would be the best candidate to supervise the project.",projection,description,impression,intuition,impression
"Since the upgraded service was carried out, there have been significantly fewer number of customer complaints .",satisfaction ,complaints,defects ,ideas,complaints
"At James Logan High School, most of the students are studying hard for the upcoming entrance exam.",hard,soon,already ,yet,hard
"When you visit the equipment room, you can borrow the machine to fill the large balloons with helium.",fill,drop,pour ,fall,fill
"Unfortunately, those newcomers were not alert enough to identify some major problems in the presented documents.",alert,observable,discovering ,obvious ,alert
"Among the several beaches in the area, Cocomo Beach is agreeably located near the city.",willingly,absolutely,certainly ,agreeably,agreeably
The noise from the construction site distracted both the teacher and the students during the class.,disengaged,disinterested,dispersed ,distracted,distracted
The manager at the store gave us the assurance that we would be given the discount coupons for the model.,acceptance,assurance,location ,assumption ,assurance
"According to the brochure that I obtained from the tourist center, there is a train leaving for Reno every hour on the hour.",textbook,guideline,biography ,brochure,brochure
"If you cannot meet  the deadline for the design work, you must let the supervisor know immediately.",serve,build,meet ,accept,meet 
The job consultant has been encouraging young job seekers to draw on their personal experience. ,draw,seek,select ,refer ,draw
"Before the release of the highly anticipated  movie, the distributor conducted several advertising campaigns for it. ",anxious,introduced,anticipated ,renewable,anticipated 
Treating every employee respectfully is an important task for any managers when it comes to employee motivation.,recently,relatively,repeatedly,respectfully,respectfully
"When you finish this computer course, employment prospects will be more promising  than before.",applicable,submissive,obtained,promising ,promising 
Some unexpected obstacles are preventing the merger between the two corporations from taking place.,withholding,interfering,decreasing,preventing,preventing
"Fortunately, new interns appeared capable of acquiring necessary skills for their jobs at the company.",capable,acceptable,desirable,adaptable,capable
Negotiations on the acquisition of the small company suffering from the shortage of funds are proceeding very well.,proceeding,carrying,discussing,summarizing,proceeding
"Remodeling the head office took a lot of time and money, but the result was well worth the expense.",expense,tariff,quantity,fare,expense
The manager will be giving a tour of the manufacturing plant to the visitors coming from Japan.,talk,trip,tour,request,tour
"Despite the unfounded rumors about the lawsuit, the relations between Amco and Textron remain harmonious.",result,reveal,remain,reach,remain
"Currently, employee morale is so high that the management expects the overall productivity to rise substantially.",than,although,that,besides,that
Jason is invincible; he could beat you at all times.,all,any,some ,much,all
The stadium will have been built  by May 10.,will build,will have built,will have been built ,is to build,will have been built 
She reminded me to call my brother.,to call,of calling,by calling ,calling,to call
Sue has been watching TV ever since she got up this morning.,has watched,has been watching,has been watched ,was watched,has been watching
The manager had hardly driven his car to get to the airport before it started to rain severely.,shortly,minutely,rapidly ,hardly,hardly
"The overall turnover rate for this year is expected to be 10 percent, compared  to just 5 percent last year.",included,resolved,compared ,related,compared 
We cannot renew the service contract unless you pay the requested amount by the deadline.,renew,revolve,remodel,reappear ,renew
"After Hagendiz’s production line expansion, its new management wanted to retain some of its original flavors.",retain,signify,conduct,undergo,retain
They have developed an effective advertising campaign to introduce the new paper product to the market.,eligible,effective,impressed,adhesive,effective
One key to effective money management lies in the methods employed to reduce spending for food.,management,comment,moment,recruitment,management
The store manager suggested that the sales representatives should file any orders received promptly  .,promptly ,lively,vividly ,greatly ,promptly 
"The customer service department had fewer complaints, challenging the perception that the quality of our software is deteriorating.",attention,exception,function,perception,perception
"For reimbursement purposes, staff are requested to submit all the valid receipts in order to verify expenses.",verify,rearrange,complicate,discount,verify
"Based on the report, factory output has risen over 20 percent since the previous year.",consecutive,following,partial,previous,previous
"Heavily discounted airfare rates may seem attractive, but travellers are advised to purchase their tickets in advance.",Busily,Heavily,Safely,Solely,Heavily
The press community enthusiastically applauded the government's announcement to increase the number of papers in the country.,enthusiastically,optionally,centrally,preferentially,enthusiastically
"According to the ad, Flu-Aid reduces the duration of common influenza symptoms in older patients.",boundary,duration,purpose,termination,duration
The enclosed copies of letters and mailing receipts indicate that you should have received the invoice three months ago.,distribute,indicate,notice,reproduce,indicate
Business owners in the city are hoping people from surrounding cities will spend some time and money while they wait for their trains.,accompanying,bounding,enclosing,surrounding,surrounding
"Kosato Inc., the only beverage maker in the area, has announced that its profits have risen 16 percent in the past six months.",coupons,productivity,factories ,profits,profits
The main mission of those experts is to consistently contribute to the nation's strong economy through their expertise.,consistently,exactly,allegedly ,respectively,consistently
The mobile phone with a small built-in camera represents a significant advance in communication technologies.,emerges,fabricates,represents,views,represents
Some lawmakers strongly maintain that regulations on rents nationwide must be kept to an absolute minimum.,absolute,eventual,unclaimed ,original,absolute
Calgary government has allocated $10 million to be distributed to various organizations  that restore and maintain national historic sites.,enrollment,constitutions,organizations ,settlement,organizations 
The number of prizes available for Great Employees Award is strictly  limited; only 5 people will receive one.,compactly,densely,strictly ,tensely,strictly 
Most corporate owners are reluctant to make an investment since they feel insecure about the long-term strength of the economy.,incapable,insecure,insincere ,insufficient,insecure
The new procedure will be put into effect after the committee reviews its overall effectiveness and feasibility.,beginning ,condition,effect,progress ,effect
Sam has been making  progress in his work since he was hired by the company.,doing,going,making ,putting,making 
"Investopia tries to minimize office noise pollution, which lowers productivity by distracting analysts from their work.",comprising,distracting,expressing ,refusing,distracting
"Please remember that the contents of the packages are perishable, so they must be delivered promptly .",extensively,recently,promptly ,objectively,promptly 
The advertisement on some major newspapers is a job seeker's first contact with Funaki Industries.,contact,contacts,contacting ,contacted,contact
"Thanks to the cultivation of new business partnership by Axon's president, the firm now can expand into European market.",failure,cultivation,process ,reflection,cultivation
"Each customer's eligibility for the special financing plan is subject to credit approval and a ₤1,000 minimum purchase.",internal,exposed,subject,necessary,subject
"By the end of the year, faster computers will be installed in place of current ones.",terms,place,spite,case,place
"If you have to vacate your room, please give us one day's notice  so that we can arrange reservation schedules.",call,excuse,notice ,word,notice 
"In an effort to better serve consumers around the world, VERTICAL Inc. conducted consumer satisfaction surveys in many countries. ",effort,influence,object,opinion,effort
"Faced with its worsening profit margin, HYPO Socket must reduce costs and operate more efficiently .",efficiently,elusively,eventually,expressively,efficiently
"Every year, people come to the small village of Montana around July 4th to enjoy its colorful fireworks displays.",colorful,logical,opposite,occupied,colorful
All employees and their family members are invited to attend the company picnic which will be held at Brilery Park this Saturday.,associate,attend,connect,participate,attend
"So that your credit card application can be processed quickly, please make sure that all sections of the form are filled out completely .",completely,hardly,highly,moderately,completely
Each of the students was doing a different assignment last night.,is,are,has been ,was,was
"This is done out of modesty; in other words, we feel like we are not deserving of so much praise.",as,like,when ,whether,like
Scientists are finding that some smells make us feel better.,feel,to feel,feeling ,felt,feel
Neither other renovated cars nor my car stops pollution.,stop,stops,is stopped ,have stopped,stops
"Several large corporations expressed their interest in buying KFN, a state-owned company now available for privatization.",available,cooperative,common,direct,available
"Recently, many airlines extended discount fares to the longer routes that are an essential part of global business travel. ",executed,elevated,essential,enthusiastic,essential
"Consideration for the program is based on the individual characteristics , such as gender, age, and household income.",actions,appearances,characteristics,symptoms,characteristics
"The trains were delayed. However, we predicted that the schedule should return to normal for evening rush hours.",normal,practical,regular,terminal ,normal
The demand for more powerful computers has increased with the introduction of new technologies.,announced,increased,invented,requested,increased
"At last, the meeting has been tentatively  scheduled to take place at RAMDA Hotel near Crystal Lake.",doubtfully ,experimentally,hesitantly,tentatively ,tentatively 
"If you have any further questions, please do not hesitate to telephone me.",alternate,hesitate,necessitate,separate,hesitate
"When making a long distance call in their rooms, guests are requested to contact the operator to ask for help.",hearing,giving,making,visiting,making
Any employees who need office supplies should submit a request directly to the purchasing director.,briefly,directly,barely,nearly,directly
Job seekers are advised to develop different versions  of resumes to appeal to various employers. ,degrees,imitations,reports,versions ,versions 
Thirty percent of the workers of the southern part of the country are employed in service industry. ,early,further,manual,southern,southern
"Unfortunately, the stock of cordless telephone is sold out, but we expect we can receive the supply soon .",almost,already,nearly,soon,soon
Mr. Bahar has a good suggestion for improving productivity in the new factory.,attraction,efficiency,involvement,suggestion,suggestion
It is very important that all corporation materials should be secured in a safe place.,completed,kept,safe,sincere ,safe
Mr. Robert would have won the election fairly easily if he had remained in the race.,fairly,further,roughly,broadly ,fairly
The hospital management announces that customers’ private health records will be kept completely confidential.,completely,distantly,quickly,usefully ,completely
Bala Beauty Cosmetics sent us samples of its new line of eye-shadows for evaluation .,evaluation,expectation,implication,reverberation,evaluation
The best way to resolve the disagreement of the two opposing sides has not yet been decided.,affecting,criticizing,establishing,opposing,opposing
"As an incentive to switch to Wirestar Communications, new business accounts receive a ten-euro credit.",action,explanation,incentive,interest,incentive
The spokesman plans to give a statement that clearly expresses the executive management's stance on the issue.,circumstances,composition,substitution,stance,stance
The number of cars sold by James has substantially exceeded the minimum requirement asked by the sales department. ,overruled,exceeded,attributed,affirmed,exceeded
Employees of Contak should remember to turn off all office lights before leaving for the day.,admitting,extending,deciding,leaving,leaving
I am writing to request a leave of absence for the annual seminar that will be held in Seattle.,desire,plead,request,want,request
People who are accustomed to receiving instant feedback from their environment tend to be impatient with anything. ,acquainted,familiar,accustomed,friendly,accustomed
Subscribers should first review the terms of the agreement carefully before singing it.,agreement,comprehension,guideline,production,agreement
"Authorities are looking for new technologies to control pollution, but they are afraid that the solutions may not be easy. ",contributions,solutions,indications,terminations,solutions
All the articles in the book are the property of their respective authors and may not be copied.,indicative,mutual,respective,written,respective
The mega software has a new feature allowing users to include up to 10 animated elements in a presentation. ,allowing,demonstrating,concerning,presenting,allowing
"Eco System has received a national award worth $100,000 for promoting environmental awareness.",valued,worth,priced,calculated,worth
"Compared to last quarter's disappointing earnings, the figures of this quarter indicate an encouraging trend.",available,approving,encouraging,enveloping,encouraging
Our pharmacy research team recently added chocolate flavoring to antibiotics.,bluntly,recently,hardly,shortly,recently
The Nilsen Media Research conducted a survey to find out the number of hours that children watch TV everyday.,broadcast,process,research,survey,survey
The Grand Hotel located in the downtown shopping area contains more than 10 elegant rooms.,elegant,expecting,tentative,watchful,elegant
The mayor praises the detective for solving the difficult case in a timely manner.,fortunate,marginal,seasonable,timely,timely
Construction associated with the replacement of the old business building will take about 5 months. ,accustomed,associated,coherent,distinct,associated
All staff members at Quality Inc. are allowed to take one 30-minute break during the 8-hour work day.,admired,allowed,forgotten,regarded,allowed
Collecting stamps has been my hobby for a long time.,have,has,will have ,to have,has
Only in my dreams did I think this would come true.,for me to think,thought I,I thought ,did I think,did I think
The project’s purpose was to store information  on life.,informing,informed,information ,informations,information 
"I forgot to set the alarm, so I got up late.",set,to set,setting ,had set,to set
The original cost estimate was unrealistic because we had not calculated how much money would be spent on initial overhead costs.,attended,calculated,convinced,relied,calculated
It is essential that the results of the research study remain confidential until they are released to the public.,competent,essential,secluded,spontaneous ,essential
Mr. Hopkins announced that the company is planning to implement business strategies that will not rely solely on labor cost cutting.,nearly,recently,solely,surely ,solely
"Because few hotels in the region accept a credit card, the tour guide recommends that tourists bring cash . ",cash,debts,finances,interests ,cash
Son's Grill is the largest restaurant ever to be built along the shore of the lake.,always,constantly,ever,usually,ever
"The computer workshop schedule is still considered tentative, and we will keep you posted on any changes.",contemporary,infinite,tentative,vigilant,tentative
Employees at the local hotel create a warm atmosphere for clients by providing them with friendly service.,atmosphere,character,standard,temperature,atmosphere
The Norton Bank personnel will automatically renew customers' enrollment in the online bill-paying program unless instructed to do otherwise .,afterward,besides,customarily,otherwise,otherwise
The advertising team is working on the campaign that presents the mini-van as the best choice for families because of its spaciousness and safety features.,choice,detection,frequency,probability,choice
The computer technicians should be able to service your area more often because their work load has been reduced .,reduced,repaired,repeated,resigned ,reduced
The sales projections show that we will need to raise  next year's production by 15 percent.,arise,consume,decline,raise ,raise 
"Due to unexpected system failures , the grand opening was postponed until next month. ",components,efforts,failures,techniques,failures
Most documents are illegible because the printing press was not designed to handle the detailed graphic the clients provided.,concerned,illegible,intentional,unlimited,illegible
Arrangements have been made to recall the defective merchandise and issue refunds to customers.,defective,deliberate,unfaithful,untrue,defective
Attendance at today’s outdoor opening of the theater may be affected by the heavy rain expected to begin in the afternoon.,decided,expected,planned,required,expected
Employees at Synergy Oil should remember that great care must be taken not to violate rules and policies of the corporation.,disconnect ,grant,interfere,violate,violate
Rexco Motors will offer customers extra incentives to buy new MXR Puma models introduced just 2 months ago.,budgets,deficits,incentives,surplus,incentives
The clerical support team rushed to finish the project before the scheduled deadline is over.,completed,examined,felt,rushed,rushed
"James, who is one of the most successful employees, has an enviable customer service rating.",enviable,impressed,interested,unlimited,enviable
"The magazine's plan to increase subscription has been only somewhat successful, as it is often difficult to break into the new market.",elsewhere,otherwise,probably,somewhat,somewhat
"Because the office furniture is scheduled for delivery this afternoon, the employees should make room for it before noon.",appointed,convinced,represented,scheduled,scheduled
A number of safety inspectors will be sent to visit the oil refinery and verify the site's compliance with the safety regulations.,application,compliance,reliance,tolerance,compliance
The board of directors will convene next week to approve the pending acquisition deal at the board room.,accompany,acquire,confide,convene,convene
The largest economic forecast predicts that the overall interest rates will rise a few percentage points in the next 6 months.,enactment,estimate,forecast,oversight,forecast
Elizabeth will take minutes of the meeting as the members further discuss cost-cutting measures.,confer,discuss,occur,reason,discuss
The delegates from each department were able to reach a consensus on a proposal to reduce the overhead costs.,consensus,dispute,retention,sympathy,consensus
AMERICA Paper will look radically different after the new chief executive officer takes over the company in July.,allegedly,formerly,primarily,radically,radically
All the members of XEN CLUB should register for the annual conference by September to avoid paying a late fee. ,annual,appearing,happening,recent,annual
The media coverage dealing with the bribery case is unprecedented in the history of the newspaper company.,immovable,impenetrable,unimpressed,unprecedented,unprecedented
Mr. Kim will be conducting  the research study on nutritional supplement for the next 6 months. ,accompanying,behaving,conducting ,progressing ,conducting 
"Because of the limited budget, the manger decided to lease a used one in good condition for two years.",basis,condition,situation,term,condition
"Economic indicators were getting better, but there was widespread speculation that they would worsen to the contrary.",automation,conservation,integration,speculation,speculation
"After several hours of discussion, the managers have agreed that the projected costs were not accurately estimated.",accurately,evidently,indecently,utterly,accurately
Career consultants advise their clients to reflect periodically on the approaches they take to a job search.,nearly,obviously,periodically,recently,periodically
"Despite the inevitable delay, the committee announced that their schedule would still accommodate a meeting next week.",accommodate,acknowledge,agree,answer,accommodate
"In order to compete strategically in a highly competitive market, companies should develop a long-term plan.",pointedly,fortunately,strategically,extremely,strategically
"The fire fighters went to the factory, bringing  down the blaze.",bring,brings,bringing ,brought,bringing 
Mary went  to the States last year.,goes,went ,has been ,going,went 
The Japanese transformed  the game and passed it on to other countries.,transformation,transforming,transformed ,were transformed,transformed 
Argument is often considered disrespectful in rigid families.,disrespect,to disrespect,disrespectful,disrespectfully,disrespectful
"We will not give cash refunds, but will accept returns of unworn merchandise for store credit only .",just,only,partially,as well,only
