question,1,2,3,4,answer
The Silverway Appliance Store will [MASK] most of its old inventory by as much as 60 percent to make way for new merchandise. ,be discounting ,discounts ,discounting ,be discounted,be discounting 
"To prevent accidents and injury, the construction supervisor at the site assigned some assistants to put up conspicuous signs in [MASK] areas. ",founded ,unprecedented ,restricted ,unlimited,restricted 
A keyboard [MASK] to the company this afternoon was defective and had to be returned to the manufacturer for replacement. ,deliver ,delivery ,delivered ,delivering,delivered 
"Justin Hayes was directed to an office in the administrative department by the receptionist, but there was [MASK] around when he arrived. ",anyone ,another ,each one ,no one,no one
Cross Cargo is the largest shipping service [MASK] in Eastern Europe with more than fifty affiliate companies across the region. ,provide ,provider ,provident ,provision,provider 
"The award for Best Comedy given to ""The Neighbors"" proves that it is one of the most [MASK] television programs today. ",honest ,optional ,entertaining ,amazed ,entertaining 
"All test papers, [MASK] complete or incomplete, must be submitted to the proctor when the allotted time for the examination is reached. ",unless,except ,despite ,whether ,whether 
A group of researchers from a cultural organization is conducting a 1-year study on the impact of [MASK] networks on young adults. ,social ,socialness ,socially ,sociality,social 
The former director’s [MASK] on the company was so powerful that many staff members in the office still think of him as the boss. ,moment ,influence ,operation ,command,influence 
Only university students who have never been published are [MASK] to join the state’s first short story writing competition. ,confidential ,grateful ,eligible ,unanimous,eligible 
The company's executive officers [MASK] the industry event last Friday if they hadn't been so busy with meetings. ,would attend ,would have attended ,attend ,will attend,would have attended 
The Linkletter Media Company [MASK] its products and services to customers through a wide variety of advertising methods. ,promotes ,assists ,contributes ,develops,promotes 
A third of the staff plan to work at the office over the weekend [MASK] complete the company's annual report before the end of the month. ,in order to ,provided that ,as soon as ,even though,in order to 
"With the emergence of personal computers, office workers became more [MASK] in handling data. ",potential,efficient ,celebrated ,furnished,efficient 
Critics are cautious about revealing too many details when reviewing a book as this would leave readers less [MASK] about buying it. ,excites,excitable ,excitement ,excited,excited
"Because there were not enough seats on the plane, the delegates had no choice but to fly [MASK] when they traveled to Philadelphia. ",coincidentally ,separately ,efficiently ,habitually,separately 
"Because of the increasing incidence of obesity in younger people, the government now requires [MASK] school to have healthier menus. ",several ,much ,every ,a number of,every 
The purchasing officer [MASK] the needed office supplies earlier if the staff had submitted their requisition forms last week. ,would have ordered ,ordering ,has ordered ,will order,would have ordered 
I requested the concierge to inform [MASK] of the tours being offered by the hotel so that I could make plans for the weekend. ,my ,I ,mine ,me,me
The quickly changing market needs in the country made it impossible for Tri-Star Cellular to stay [MASK] the competition. ,according to ,according to ,ahead of ,subsequent to,ahead of 
"[MASK] , even though the company suffered a profit decline during the economic crisis, it was able to bounce back and recoup its losses. ",Eventually ,Eventual ,Event ,Eventuality,Eventually 
The Rotterland Industrial Park houses some of the most productive and proficient information technology companies [MASK] Memphis city. ,at ,among ,in ,onto ,in 
Mr. Villanueva will not be overseeing the activities for the product launch as he is [MASK] to fly to Vienna tomorrow morning for a meeting with an Austrian investor. ,outlined ,scheduled ,measured ,circulated,scheduled 
The supervisor instructed [MASK] to make certain that all the equipment and machinery in the factory is turned off before he leaves. ,he ,his ,himself ,him,him
The new car model that was released by Ultima Automobiles last month has an excellent brake system and quick [MASK] . ,expedition ,acceleration ,dispatch ,addition,acceleration 
New employees may apply for transfer to other local branches [MASK] they have the approval of their immediate supervisor. ,as though ,provided that ,outside of ,subsequent to,provided that 
"The article stated that in [MASK] times, the cellular phone is probably the most useful and one of the least expensive gadgets to own. ",this,that ,those ,these,these
"After the advertising campaign failed, the company conducted a(n) [MASK] analysis to determine whether its product needed redesigning. ",liable ,regular ,artful ,frugal,regular 
The Tea and Danish Bakeshop on Second Avenue is popular with customers because of the wide [MASK] of baked goods it offers. ,section ,variety ,class ,issue,variety 
The new marketing strategy [MASK] a significant increase in GT Electronics’ revenues over the last two quarters. ,cause ,causing ,is caused ,has caused,has caused
"Beginning June 15, the Transportation Office will raise [MASK] for renewal of vehicle registration and driver’s license. ",bills ,reservations ,fees ,wages,fees 
The supplies manager of Coco Steakhouse plans to [MASK] new kitchen equipment and dinnerware for the restaurant before the end of the month. ,purchase ,purchases ,purchased ,purchasing,purchase 
"The director had such a tight schedule that [MASK] giving a speech at a local event, he immediately left for another appointment. ",after,despite ,until ,beside ,after 
The head librarian makes it a point to ring a small bell when the noise at the high school library goes beyond the [MASK] level. ,acceptably ,acceptable ,acceptableness ,acceptability,acceptable 
A good presenter [MASK] possible questions that the audience might have and prepares his or her answers ahead of time. ,anticipates ,peaks ,continues ,distinguishes,anticipates 
The editor requested the [MASK] to give the manuscript one final check after seeing a few errors as he scanned the pages. ,proofread ,proofreads ,proofreader ,proofreading,proofreader 
"Most supermarkets carry similar or exactly the same items, but some stores sell their products at [MASK] higher prices than the others. ",already ,closely ,slightly ,properly,slightly 
"She thought there was enough flour to bake a large cake, but when she checked the pantry, she discovered that there was [MASK] left. ",few ,much ,little ,all,little 
"With her fluency in Spanish, Katherine Nichols was able to converse [MASK] with the clients from Cuba and Mexico. ",easily ,rarely ,neatly ,sharply,easily 
The office manager asked Evan Farris to buy some printer paper [MASK] the office supplies store on his way to work. ,into ,from ,next ,along,from 
None of the safety measures should be [MASK] by construction workers while they are in a project site. ,ignored ,recalled ,behaved ,confronted,ignored 
A proofreader at the newspaper [MASK] checks the details in the articles and verifies the writer's sources. ,completed ,completely ,completion ,complete,completely 
An announcer said the department store was looking for the person [MASK] left a diamond ring in the ladies' room. ,whom ,who ,whoever ,whose,who 
The bank reported that a small business it lent money to was [MASK] expanding its furnituremaking shop. ,approximately ,presently ,adversely ,punctually,presently 
The supervisor could [MASK] have expected the new plant workers to know how to handle complex machinery. ,scarcely,scarce ,scarcest ,scarcity,scarcely 
"At present, the Perez and Ericta Law Firm has only two lawyers who [MASK] in intellectual property disputes. ",commend ,emerge ,enumerate ,specialize,specialize
Banking websites must reassure their customers that their personal information is [MASK] stored online. ,deeply ,securely ,slowly ,tightly,securely 
The Chaudary Career Fair was a remarkable success as [MASK] ten thousand jobseekers received employment offers. ,hardly ,usually ,nearly ,meagerly,nearly 
Anyone [MASK] wishes to cancel their attendance to the seminar must submit a written request to the event organizer’s office. ,who ,whom ,whose ,whoever,who 
Dr. Reyes’ team of laboratory scientists [MASK] to finish its analyses of the new medicine samples by March 15. ,expect ,expecting ,is expected ,have expected,is expected 
The history department said that the information in a textbook listed for a course was both inaccurate [MASK] incomplete. ,or ,but ,and ,so,and 
Most hoteliers say that one of the real [MASK] of the industry is staying sustainable during economic crises. ,challenged ,challenges ,challenging ,challenge,challenges 
The results of a recent survey show that the high unemployment rate is [MASK] the biggest problem by respondents. ,considered ,consider ,considers ,considering ,considered 
The investment company's recent purchase of a majority of Mobile Quick's shares [MASK] by a spokesperson. ,had announced ,announcing ,was announced ,announces,was announced 
The assistants were hurrying with preparations as the meeting of the board was expected to begin [MASK] 10 minutes. ,within ,toward ,until ,before,within 
"After a 2-hour delay and a long and turbulent flight, most of the passengers were [MASK] as they disembarked. ",awkward ,enthusiastic ,irritable ,lax,irritable 
The company employed several more workers to cover the assembly line in order to ensure that the factory remain [MASK] during peak product demand. ,destructive ,abundant ,productive ,persistent,productive 
" As announced over the loudspeaker system, a demonstration of Prokan’s newest electric grill [MASK] at the Red-Brick Appliance Center in the mall’s left wing. ",holding,holds ,has held ,is being held ,is being held 
Researchers from the marketing department complained about the [MASK] budget for the company’s advertising campaigns. ,reduce,reduces ,reductions ,reduced ,reduced 
The administrative department hired a top recruiter to search for an individual with [MASK] in investments analysis. ,incomprehension ,expertise ,profession ,preference,expertise 
"[MASK] the high cost of expansion, the executive officer was convinced the investment would be a good strategy. ",Subsequent to ,Provided that ,Regardless of ,Even if,Regardless of 
Hospital administrators plan to [MASK] the procedures involved in getting free or low-cost medical treatment. ,familiarize ,deteriorate ,negotiate ,simplify,simplify
The members of an advertising association [MASK] next week to discuss efficient methods of marketing. ,will convene ,convened ,have convened ,had been convening,will convene 
"The [MASK] attendance at the convention of psychologists and counselors in Seattle is approximately 5,000 persons. ",estimated ,estimating ,estimate ,estimates,estimated 
The CEO thanked his staff for [MASK] the company attain the number one spot in the fast food industry. ,help ,helping ,to help ,helped,helping 
Kullervo Design employees who want to arrange for [MASK] parking space should contact the building and grounds administrator. ,personal ,objective ,dominant ,opinionated,personal 
"For security purposes, outsiders are prohibited from entering the landfill [MASK] the management’s permission. ",without ,throughout ,within ,besides ,without 
Tefnut Incorporated’s prominent position in the retail industry is [MASK] due to its innovative approaches to product branding and workforce development. ,carelessly ,partly ,moderately ,severely,partly 
The company's state-of-the-art assembly plant in Sta. Cruz is an enormous [MASK] over the old factory with its outdated equipment. ,improve,improving ,improvement ,improved,improvement 
"Now that it has become easy to download movies over the Internet, people have stopped renting films from video shops [MASK] . ",rarely ,unbearably ,altogether ,mutually,altogether 
"The director left instructions that if [MASK] calls while he is at the conference in Brussels, he should be informed of the call via voice mail. ",anyone,whomever ,them ,itself,anyone 
The theater’s unique architectural design was successfully [MASK] through the help of local artists who participated in the restoration work. ,transferred ,preserved ,relieved ,delayed,preserved 
Health Haven is a wellness center actively involved in [MASK] fitness programs for senior citizens living in retirement homes. ,arrange,arranges ,arranging ,arranged ,arranging 
Orion Sea Lines has [MASK] increased the insurance coverage of passengers and acquired new marine safety equipment. ,volunteer ,volunteers ,voluntary ,voluntarily ,voluntarily 
"David walked around the whole office, searching for [MASK] briefcase until he remembered that he had left it at home that day. ",him,he ,his ,himself,his 
"Next month, the company's executive officer [MASK] in Turkey, a country he has never been to but has heard so much about. ",will be vacationing,vacationed ,has vacationed ,to vacation,will be vacationing 
Greenfields Environmental Organization sent the foundation a [MASK] six months ago but has yet to receive a response from them. ,prescription,consultation ,development ,proposal,proposal
"The staff who are transferring to Asia must remember that as a social gesture, people bow [MASK] to indicate recognition or gratitude. ",actively,respectfully ,directly ,efficiently,respectfully 
"The real estate dealer missed a weekend appointment with a wealthy client, [MASK] losing an opportunity to make a property sale. ",since,thereby ,once ,despite,thereby 
"Everyone on the stage was dressed in a black suit or gown [MASK] the main singer, who was dressed completely in white. ",instead of,along ,except ,mostly,except 
A study showed that students are becoming more [MASK] on the Internet for academic research rather than on books and other published materials. ,reliant ,reliably ,reliance ,reliability,reliant 
Broiler Electronics intends to resolve the issue of product manufacturing errors by hiring [MASK] quality controllers. ,experienced ,cultured ,concerned ,activated,experienced 
 Nausica Holdings recently disclosed that it will begin accepting bids for property [MASK] from contractors for its new hotel in Michigan. ,interest ,market ,anticipation ,maintenance,maintenance
Only 25 percent of the respondents in the research study said they were [MASK] in the morning after sleeping for 7 or 8 hours. ,energetic,concerned ,anxious ,strenuous,energetic 
The locally made wicker baskets in the shop were woven so [MASK] that not even a drop of water in the baskets could leak out. ,slowly,tightly ,hardly ,deeply,tightly 
The executive officer talked about [MASK] for business expansion in Kansas during the first half of the board of directors meeting. ,plan,plans ,to plan ,planned,plans 
"According to the survey, visitors to Las Vegas said they would prefer to live in that city because it doesn't seem to [MASK] rain there. ",already,ever ,fully ,fairly,ever 
"There were only two sandwiches on the tray for Alice and Joey, but Alice said she would take [MASK] was left after Joey made a choice. ",anyone,another ,whomever ,whichever,whichever
"To halt the [MASK] rising inflation, the government put a price ceiling on most commodities and fined companies that were hoarding goods. ",quickness ,quickest ,quicker ,quickly ,quickly 
The limited edition shirts will be released on Tuesday and remain available [MASK] next month. ,with,off ,until ,from,until 
"With the office’s newly upgraded on-line system, part-time writers may soon be [MASK] to work from home. ",permits,permission ,permitted ,permissible ,permitted 
Ellen has always been [MASK] for the company’s well-attended career seminars. ,responsible,possible ,predictable ,attainable ,responsible 
"[MASK] preparing news releases for the media, the public relations head also hosts company events such as press conferences. ",On account of ,Providing that ,In addition to ,Everyday,In addition to 
The company website was officially launched [MASK] there was still a problem with some of the links. ,in spite of,because ,in order to ,although,although
There is such a vast [MASK] of tableware at the Kitchen Depot that shoppers often spend long hours trying to make a choice. ,selection,assurance ,persistence ,affiliation,selection 
The administration [MASK] workers' salaries by 10 to 15 percent in line with the new policy on wage adjustments. ,collected,increased ,acquired ,distinguished,increased 
The research team is carrying out a general survey to determine what could be [MASK] for diminishing sales in the region. ,responsibility,responsibly ,responsible ,responsibleness ,responsible 
The author sent the publishing company an [MASK] of the topics he plans to include in his historical novel. ,itinerary,hospitality ,subscriber ,outline,outline
The building administrator has created a list of office furniture for [MASK] . ,removal,removers ,removable ,removes ,removal 
Veronica [MASK] speeches for the president until she decided to establish her own public relations firm. ,writes,will be written ,will write ,wrote,wrote
"After the construction project at Milton Hills begins, the safety engineer will visit the site [MASK] . ",regularly,equally ,lately ,exactly ,regularly 
The company's productivity has risen by 60 percent [MASK] it hired Jimmy Warren as head operations supervisor. ,unless ,since ,despite ,without,since 
The accountants [MASK] check the figures in the income tax forms to ensure that the amounts to be refunded are correct. ,exhaustive,exhaustion ,exhaustively ,exhaustiveness,exhaustively 
Those who applied for travel documents last week may collect their newly [MASK] passports at window 3 on the first floor. ,reported,ordered ,directed ,issued,issued
Many restaurants nowadays prepare dishes [MASK] butter and vegetable oils because their patrons are more health-conscious. ,despite,owing to ,without ,in addition to,without 
The fragrance company has decided [MASK] their new perfume a week earlier to coincide with their tenth anniversary. ,to release,release ,releasing ,released,to release 
The manager thought the building was ideal for the new office as the [MASK] area had many convenient facilities. ,surrounded,surround ,surrounding ,surrounds,surrounding 
The manager suggested [MASK] the resort guests with a culture-themed show after they had finished settling into their private rooms. ,welcoming ,promoting ,relating ,looking,welcoming 
"Automobile parts and components of selected car models may be ordered directly from the [MASK] either by phone, e-mail or Website. ",manufactures ,manufacturer ,manufactured ,manufacturability,manufacturer 
"With the recent spate of larceny and purse snatching in the park premises, management has warned visitors to keep watch over [MASK] personal belongings. ",they ,them ,their ,theirs,their 
Several representatives [MASK] on-the-spot interviews with customers to obtain feedback on store employee service. ,conducted,operated ,escorted ,transferred,conducted 
[MASK] submitted a proposal for a 3-month project aimed at replacing the damaged sidewalks of the community. ,Our,We ,Us ,Ourselves,We 
It was difficult to spot the HRD head standing [MASK] the other members of management as they were all similarly dressed. ,between,among ,outside ,through,among 
The supervisor reminded [MASK] employees to sign up for the advanced computer skills trainings before the end of the day. ,interested,interesting ,to interest ,interestingly,interested 
The air conditioner manufacturer will be expecting a twofold increase in orders for its most popular models [MASK] summer begins. ,before,although ,during ,regardless of,before 
"The software program was advertised as [MASK] and simple to use, but many customers said it was complex and bewildering. ",genuine,straightforward ,evident ,particular,straightforward 
"Although The Ramen House has [MASK] food selections, it uses authentic Japanese ingredients for its noodles. ",limiting ,limitedly ,limitation ,limited,limited
"You may now forward the reviewed [MASK] to Ms. Sunders, who will schedule the candidate for testing. ",application ,subject ,commitment ,process,application 
"Having received fresh capital from foreign investors, Royal Textiles Company has [MASK] completed the construction of a fabric factory in Asia. ",expertly,eloquently ,finally ,discretely,finally 
"In the [MASK] of new employees, the executive officer becomes friendly and more open to good-humored conversation. ",confusion,contingency ,property ,presence,presence
"The gift shop [MASK] closes at 8 p.m., but during the holidays, it stays open until midnight for last-minute shoppers. ",normally,normal ,normalness ,normality,normally 
The lack of capital [MASK] the company's alternatives where plant expansion and product innovation are concerned. ,avoids,measures ,circles ,limits,limits
"The staff who are transferring to Asia must remember that as a social gesture, people bow [MASK] to indicate recognition or gratitude. ",Actively ,Efficiently ,Directly ,Respectfully ,Respectfully 
"The real estate dealer missed a weekend appointment with a wealthy client, [MASK] losing an opportunity to make a property sale. ",Since ,Thereby ,Once ,Despite,Thereby 
"Everyone on the stage was dressed in a black suit or gown [MASK] the main singer, who was dressed completely in white. ",instead of ,along ,except ,mostly,except 
"Although city officials have given clear warning, many residents in the coastal areas believe they are [MASK] prepared for the coming tropical storm. ",sufficiently ,marginally ,profusely ,generously,sufficiently 
Latvia Finance has been the United States’ most profitable company [MASK] more than three decades. ,at ,for ,of ,up,for 
An assistant to the chief executive officer [MASK] inquiries into the financial reports recently released by the company to the public. ,confesses,reacts ,talks ,answers,answers
The company's state-of-the-art assembly plant in Sta. Cruz is an enormous [MASK] over the old factory with its outdated equipment. ,Improve ,Improvement ,Improving ,Improved,Improvement 
"Now that it has become easy to download movies over the Internet, people have stopped renting films from video shops [MASK] . ",Altogether,Unbearably ,Rarely ,Mutually,Altogether 
"The director left instructions that if [MASK] calls while he is at the conference in Brussels, he should be informed of the call via voice mail. ",Them ,Whomever ,Anyone ,Itself,Anyone 
"Although Ms. Hamilton rejected the terms of the contract, she [MASK] requested the company for a renegotiation. ",later,before ,otherwise ,even,later 
Experts do not think that the use of alternative sources of energy is an [MASK] solution to high power costs. ,Economical,Economy ,Economically ,Economics,Economical 
Many investors sold their shares of Socal Firm [MASK] the value of the company's stock began plummeting. ,During ,Now ,Then ,Once ,Once 
"Taxpayers often forget to [MASK] charitable contributions, losses due to theft, and interest paid on home loans as deductions when filling out a tax form. ",surround ,extend ,propose ,include,include
Amethyst Restaurant on Maple Avenue offers [MASK] dishes that have received a lot of praise from local and international food critics.,amusing ,exceptional ,moderate ,essential,exceptional 
The microfinancing seminar [MASK] entrepreneurs interested in small capital ventures will be hosted by the Geneva Steel Group. ,for ,off ,to ,over,for 
Take advantage of Mercantile Bank's high interest rates on savings accounts and enjoy a free gift by opening an account at any branch [MASK] you. ,among ,besides ,near ,next,near 
Management met with the head of the marketing team yesterday to discuss strategies for [MASK] monthly sales for the upcoming fiscal year. ,approving ,boosting ,recommending ,celebrating,boosting 
"Many of the office staff members were surprised to learn that Pamela Reed, and not Jeffrey Wells, would [MASK] the company's most valuable employee award. ",received ,be receiving ,to receive ,receiving,be receiving 
The human resources head [MASK] the supervisors to determine which of the new employees will be sent to the institute for additional training. ,convened ,adjusted ,reunited ,officiated ,convened 
"Shocked by the [MASK] drop in value of several small capital stocks that were previously doing well, some investors began selling their shares. ",effective ,intricate ,careless ,sudden,sudden
A conference to be attended by members of the banking community on [MASK] measures to curb indiscriminate lending will be suspended until next week. ,implementing ,implement ,implements ,implementation,implementing 
The stress management program implemented by the human resources department has enabled management and staff to work [MASK] under pressure. ,delicately ,positively ,notably ,effectively,effectively
"Having done painting work for acquaintances in the past, Nathan decided to repaint his house [MASK] than hire a skilled worker to do the job. ",he,him ,his ,himself ,himself 
"An [MASK] of Keibler Technlogies, the cleaner robot recently advertised on prime time television is designed to sweep and polish floors. ",objective,invention ,accumulation ,extension,invention 
"As a security measure, malfunctioning surveillance cameras and [MASK] systems in the building were repaired last week. ",communicate,communicable ,communicatively ,communication,communication
Inventors from Gaisan Kinetics will [MASK] the features of a new robot vacuum cleaner at the Technology Fair this month. ,demonstrate,encourage ,endure ,facilitate ,demonstrate 
A private research firm published a comprehensive study on how prescription medicines can [MASK] the lifespan of those who regularly take them. ,compress ,alleviate ,shorten ,tighten,shorten 
The crime show became popular with viewers after an online site began giving free concert tickets to the first person to [MASK] identify an episode's perpetrator. ,correctly ,correction ,corrected ,correct,correctly 
"As a historical writer, Lesley Radcliffe has proved that she can expertly handle the scope of both ancient and modern [MASK] in her popular history books. ",settings,habitats ,surroundings ,conditions,settings 
Prices of basic commodities have increased over the past month [MASK] a steep rise in the costs of fuel and other energy sources. ,due to ,without ,despite ,during,due to 
A workshop on benevolence urged participants to treat persons [MASK] by assisting them in ways that would improve their lives. ,fortunately ,sparingly ,strictly ,charitably,charitably
The damages to the city’s electric circuits resulted in more [MASK] power interruptions in some residential areas. ,frequent,amazing ,advanced ,memorable,frequent 
"Using the bandage [MASK] by the instructor of your group, perform the following first aid procedures. ",provide ,providing ,provided ,provides ,provided 
Time Invest president Cyril Summers called on education institutions to train young people to be thrifty and [MASK] independent. ,economic ,economical ,economics ,economically ,economically 
A [MASK] of designers from the Fashion Federation went to Italy for the launch of Felice’s Spring Collection. ,sample,description ,delegation ,companionship,delegation 
"After Jason [MASK] the job in the personnel department, he was assigned to a team that evaluated applicants. ",will master ,is mastering ,masters ,had mastered ,had mastered 
Please give the production team [MASK] twenty minutes to adjust the lights and backdrop for the photo shoot. ,commonly ,narrowly ,unpredictably ,approximately,approximately
"After interest rates increased exponentially, the government introduced controls to ensure that bank loans remained [MASK] to the public. ",closer ,affordable ,cooperative ,capable,affordable 
"Although the painting exhibit was rescheduled this week due to the unavailability of a venue, only a few [MASK] withdrew their registrations. ",participants,participates ,participation ,participative ,participants 
Interest payments and other fees on mortgage loans rose [MASK] when real estate prices dropped by about 40 percent last quarter. ,expressively ,fluently ,dramatically ,commercially,dramatically 
"As instructed by the editor, changes to the magazine layout should be [MASK] to the senior graphic artist. ",directed ,director ,directory ,directs,directed 
A proposal for a national subway project submitted by the Department of Transportation was [MASK] by lawmakers who considered it too costly. ,sheltered ,rejected ,escaped ,compared ,rejected 
Citizens are encouraged to demand [MASK] for the goods and services they purchase in order to promote efficient tax collection. ,processes,notifications ,directions ,receipts ,receipts 
Several football matches for this year’s corporate tournament are scheduled to be [MASK] at the new Opal Stadium in Piedmont. ,committed ,went ,returned ,held,held
Tenants are advised to [MASK] to the new garbage disposal policy of the building to avoid paying a fine. ,adheres ,adhered ,adhering ,adhere ,adhere 
The tourism industry has created [MASK] attractive business opportunities on the island. ,overwhelming,overwhelmingly ,overwhelms ,overwhelm,overwhelmingly 
"According to the franchise agreement, the gift shop should generate [MASK] income during its first year of operation. ",imminent ,arrival ,substantial ,matured ,substantial 
"As a holiday offer, a free e-book will be given to every client who [MASK] Construct Pro software between December 1 and January 10. ",purchasing,purchaser ,purchases ,purchase,purchases 
Officials of the Department of Highways and Transportation have agreed to build steel railings [MASK] the cliff of the mountain to prevent accidents. ,besides,along ,under ,without,along 
Delux Motors is renovating the main factory to raise its [MASK] production capacity to three hundred thousand units per year. ,later ,succeeding ,current ,staged,current 
The department store’s policy regarding returns is that only [MASK] with official receipts will be allowed to claim refunds for defective items. ,that ,these ,those ,whose,those 
Ms. King’s outstanding [MASK] in the past year was a key factor in her being promoted to the assistant supervisor position. ,succession ,obligation ,ascension ,performance,performance
"Senior citizens may be eligible for additional tax exemptions if the total value of their assets does not [MASK] $400,000. ",require ,exceed ,promote ,obtain,exceed 
"If the cash register does not work after we perform the repair, we will replace it with [MASK] or return your payment. ",each other,another ,some other ,few,another 
"[MASK] tomorrow’s product presentation will start at 10 A.M., marketing employees are required to be at the office at 8 A.M. to prepare the necessary materials and equipment. ",Though ,During ,Unless ,Despite,Though 
All the cable service support representatives are out on call to provide technical [MASK] to customers in the area affected by the recent storm. ,independence,association ,assistance ,payment ,assistance 
The very popular and handsome Australian actor Tracy Patton is the newest addition [MASK] the cast of the television series “Wind Mills”. ,around,over ,to ,off,to 
"Although the business expanded into two countries this year, the company spent a [MASK] low amount of investments to finance the projects. ",defensively,relatively ,dutifully ,assertively,relatively 
Management [MASK] employees from using their paid vacation days ahead of the contract renewal period. ,apprehends,implies ,discourages ,compiles,discourages 
"When a document delivery is made to the office, it is the responsibility of the receptionist to [MASK] check the contents of the envelope before accepting it. ",thoroughly ,vividly ,mutually ,ultimately,thoroughly 
The rock band’s manager Ms. Wright will complete the [MASK] for the concert tour after confirming the venue reservations for all tour dates. ,itinerary,remark ,pattern ,surface,itinerary 
"Although family members want to check on sick relatives in the hospital’s intensive care unit, only medical staffs are [MASK] to enter the recovery room. ",permitted,established ,decided ,preserved,permitted 
A workshop on obtaining employment teaches participants the skill of communicating their [MASK] in problem-solving and decisionmaking to an interviewer. ,strong,strengths ,strengthened ,strongest,strengths 
"The logistics office is in charge of the acquisition, audit, and [MASK] of office supplies and equipment. ",intersection ,exception ,distribution ,investigation ,distribution 
Escalating interest rates are among the serious [MASK] concerns of entrepreneurs with large mortgage loans. ,finance,financial ,financier ,financially ,financial 
A newly-installed security system will [MASK] tenants to keep their apartment secure and quickly report any unusual activity in the premises. ,waive ,prefer ,upgrade ,enable ,enable 
"[MASK] its inception in 1985, Gonzaga Tailoring has been the leading tailor of custom-made business suits and shirts in Brazil. ",Within ,Since ,For ,On,Since 
"During the first part of the presentation, a researcher explained in detail the [MASK] of the survey methods utilized in the study. ",separation,obligation ,possibility ,reliability ,reliability 
"While the funds are still being collected, the neighborhood association meets [MASK] to plan improvements for the community. ",occasional,occasion ,occasionally ,occasions ,occasionally 
Inadequate amounts of farm produce caused by severe weather in the past months [MASK] for the insufficient supply of vegetables in metropolitan areas. ,present ,provide ,account ,reserve,account 
An advertisement for Gentle Waves’ new laundry detergent claims that the product is effective in [MASK] removing dirt and stains from clothing. ,lastly,exclusively ,completely ,divergently,completely 
Customers who subscribe to the film distribution service are asked to [MASK] rented DVDs on or before the due date to avoid late fee charges. ,return,returning ,returned ,returns,return 
"To meet the production target, all Web design projects due by the end of the year must take [MASK] over the recently acquired ones. ",priority ,authority ,credit ,purpose,priority 
Contestants of Dancing with the Royalties are required to be [MASK] the Croissants Hotel before the press conference begins. ,toward,from ,at ,of,at 
Patroclus Pharmaceuticals has released some new herbal medicines that [MASK] strengthen the body’s immune system. ,specified ,specifically ,specificity ,specification,specifically 
The representatives sent by the company could not convince the client to accept their proposition no matter [MASK] hard they tried. ,much ,how ,also ,so,how 
The operations manager of CMD Pharmaceuticals has withdrawn [MASK] application for early retirement. ,his,he ,himself ,him ,his 
Marie Jane Magazine photographer and layout artist Vincent Young gave [MASK] suggestions for the cover of the publication’s summer issue. ,adjacent ,relevant ,parallel ,dependent,relevant 
A notice published by the Internal Revenue Office in major newspapers across the country announced that the tax filing season [MASK] next Monday.. ,begin ,has begun ,beginning ,will begin,will begin
"Shoppers in the mall frequent Iceberg Chills, a frozen desserts shop known for its delicious [MASK] of handmade ice cream. ",selecting ,selection ,selectable ,selective,selection 
Not all of the shops and boutiques in the arcade will accept gift certificates [MASK] Morgan Department Store as a valid substitute for currency. ,from,out ,off ,since,from 
Uno full-cream milk contains the necessary nutrients needed to boost the mental and physical [MASK] of children. ,ascension,magnitude ,expansion ,growth ,growth 
Actress Tara Cummings received an award for the charitable acts [MASK] has performed for underprivileged communities. ,herself ,hers ,her ,she,she
"The staff is encouraged to [MASK] in free yoga and aerobics classes, which are part of the company’s health and wellness program. ",submit ,attract ,accept ,enroll ,enroll 
"On the first training day, you will need to [MASK] a bank application form for your payroll account. ",completeness ,completing ,completely ,complete,complete
The supplier guaranteed that the next batch of organic fruits and vegetables would be delivered a week [MASK] tomorrow. ,from ,on ,into ,as,from 
The Balinese-inspired furniture pieces made of durable plastic are [MASK] suitable for locations where the climate is hot and humid. ,steadily,instantly ,perfectly ,slowly ,perfectly 
"Aware of the serious [MASK] of living abroad, the human resources department provides the company’s overseas workers with cross-cultural trainings. ",protests ,challenges ,encounters ,commands,challenges 
A number of power generation plants will be [MASK] by Deemwig Energy over the next five years to meet the growing demand for electricity in the town. ,stood up ,set up ,passed out ,put down ,set up 
The agreement stipulates that Royal Commercial Cleaners will provide general cleaning services [MASK] the building on a weekly basis. ,over ,upon ,between ,throughout,throughout
The workshop on leadership skills should [MASK] include classes for those who are already leaders and classes for those who would like to become one. ,idealess,ideally ,ideal ,idealism ,ideally 
"To gain the [MASK] of its employees, Tamarities Corporation offers competitive salary and compensation packages. ",name ,brand ,normality ,loyalty,loyalty
"In its presentation to Glaucus Industries’ management, researchers stated that the new marketing campaign is [MASK] to increase sales by 20 percent. ",expecting ,expected ,expectation ,expectably,expected 
"Unlike other preparatory schools, Jameson Academy places [MASK] importance on developing its students’ innate artistic abilities than on teaching a variety of skills. ",as great as ,greater ,memore greatly ,greatly,greater 
"Since many neighborhood association members work on weekdays, meetings are [MASK] held at the clubhouse on Sundays. ",mentally ,incidentally ,frequently ,formerly ,frequently 
Yunnan-based power distributor Neutron launched its first public offering on the Shanghai stock exchange [MASK] additional capital for expansion may be raised. ,so that ,since ,while ,without,so that 
"According to a recent report, Stentor Weavers is the leading [MASK] of textile products in South America. ",manufacturability ,manufactured ,manufacturer ,manufacture,manufacturer 
